name,category,type,direction,in_pure,source,notes,n_nonnull,min,q25,median,q75,max
home_odds,MARKET,continuous,low_means_home_favored,yes,odds table (is_closing=false),Decimal 1x2 odds for HOME. Lower = market sees home as favorite. CAVEAT: 94% rows are post-match closing (leakage for training).,6954.0,1.01,1.67,2.2,3.1,26.0
draw_odds,MARKET,continuous,n/a,no (used for de-vig),odds table,Decimal odds for draw. Used to remove bookmaker margin via 1/o normalization.,,,,,,
away_odds,MARKET,continuous,low_means_away_favored,yes,odds table,Decimal 1x2 odds for AWAY.,6954.0,1.04,2.25,3.25,5.0,51.0
home_market_prob,MARKET,continuous,high_means_home_favored,yes (max_market_prob filter),de-vigged from odds (1/o / sum(1/o)),"Implied probability HOME wins, removed bookmaker margin. Used to find 'undervalued' (cap max → only low-implied = mispriced fav).",6954.0,0.036,0.306,0.426,0.565,0.935
draw_market_prob,MARKET,continuous,n/a,no,de-vigged,Implied draw probability.,,,,,,
away_market_prob,MARKET,continuous,high_means_away_favored,yes,de-vigged,Implied probability AWAY wins.,6954.0,0.019,0.189,0.288,0.414,0.901
odds_ratio,MARKET,continuous,high_means_home_favored,no (derivable),away_odds / home_odds,How much shorter the home odds are vs away. Quick intuition for 'how clear is the favorite'.,,,,,,
vig,MARKET,continuous,n/a,no (derivable),(1/h + 1/d + 1/a) - 1,Bookmaker margin. Typically 4-7%. Higher = thinner edge.,,,,,,
home_glicko,STRENGTH,continuous,high_means_home_strong,yes (via glicko_gap),match_stats.home_glicko (PRE-match),SStats Glicko-2 rating for home team. Default ~1500. Higher = stronger.,,,,,,
away_glicko,STRENGTH,continuous,high_means_away_strong,yes (via glicko_gap),match_stats.away_glicko (PRE-match),Glicko rating for away team.,,,,,,
glicko_gap,STRENGTH,continuous,positive_for_home,YES (key),home_glicko - away_glicko,STRONGEST single discriminative feature in calibration. Top decile WR 78% if betting home.,3619.0,-492.815,-102.772,-1.037,100.993,561.648
home_glicko_prob,STRENGTH,continuous,high_means_home_strong,YES (key),match_stats.home_win_prob,Pre-match Glicko model's win probability for home. Best single calibrated factor (top decile 79% WR).,3454.0,0.053,0.29,0.405,0.542,0.858
away_glicko_prob,STRENGTH,continuous,high_means_away_strong,YES,match_stats.away_win_prob,Glicko prob for away.,3454.0,0.048,0.215,0.325,0.445,0.827
glicko_prob_diff,STRENGTH,continuous,positive_for_home,no (derivable),home_glicko_prob - home_market_prob (mispricing signal),Our Glicko model says home is N% likely; market says M%. Diff = the 'gem' edge.,,,,,,
